scorer,DLC_resnet50_wtfJun20shuffle1_800000,DLC_resnet50_wtfJun20shuffle1_800000,DLC_resnet50_wtfJun20shuffle1_800000,DLC_resnet50_wtfJun20shuffle1_800000,DLC_resnet50_wtfJun20shuffle1_800000,DLC_resnet50_wtfJun20shuffle1_800000,DLC_resnet50_wtfJun20shuffle1_800000,DLC_resnet50_wtfJun20shuffle1_800000,DLC_resnet50_wtfJun20shuffle1_800000,DLC_resnet50_wtfJun20shuffle1_800000,DLC_resnet50_wtfJun20shuffle1_800000,DLC_resnet50_wtfJun20shuffle1_800000,DLC_resnet50_wtfJun20shuffle1_800000,DLC_resnet50_wtfJun20shuffle1_800000,DLC_resnet50_wtfJun20shuffle1_800000
bodyparts,Focinho,Focinho,Focinho,OrelhaE,OrelhaE,OrelhaE,OrelhaD,OrelhaD,OrelhaD,Centro,Centro,Centro,Rabo,Rabo,Rabo
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
82,851.9113159179688,651.2532958984375,0.9999328851699829,821.1107177734375,694.09228515625,0.9999992847442627,860.2597045898438,702.6619873046875,0.9999735355377197,829.3132934570312,757.3474731445312,0.9999929666519165,810.1920166015625,823.6398315429688,0.9998700618743896
83,851.9736328125,650.93505859375,0.9995294809341431,821.1107177734375,694.09228515625,0.9999990463256836,860.4164428710938,702.6619873046875,0.9999947547912598,829.4421997070312,757.3474731445312,0.9999914169311523,810.366943359375,823.7255859375,0.9998040795326233
84,851.9113159179688,651.3861694335938,0.9998902082443237,821.0765380859375,694.09228515625,0.9999992847442627,860.4164428710938,702.9321899414062,0.9999734163284302,829.4421997070312,757.3409423828125,0.9999734163284302,810.6085815429688,824.2196044921875,0.9994568228721619
85,851.9113159179688,651.4228515625,0.9998910427093506,821.1107177734375,694.09228515625,0.9999986886978149,860.4164428710938,702.6619873046875,0.9999837875366211,829.4421997070312,757.3474731445312,0.9999889135360718,811.4695434570312,824.3912353515625,0.999881386756897
86,852.2803344726562,651.3861694335938,0.9990885257720947,821.3063354492188,693.7914428710938,0.9999984502792358,860.4164428710938,702.4230346679688,0.9998672008514404,829.4421997070312,757.9777221679688,0.999991774559021,811.5267944335938,824.2196044921875,0.9999731779098511
87,852.4412231445312,650.8793334960938,0.9992757439613342,821.3063354492188,693.7914428710938,0.9999977350234985,860.4164428710938,702.1867065429688,0.9998599290847778,828.7154541015625,757.55908203125,0.999991774559021,811.6239013671875,823.9039306640625,0.9999676942825317
88,852.2803344726562,651.0432739257812,0.9996073842048645,821.3063354492188,693.7914428710938,0.999998927116394,860.5708618164062,702.1867065429688,0.9998064637184143,828.671142578125,757.9777221679688,0.9999622106552124,811.6239013671875,823.9039306640625,0.9999428987503052
89,852.2803344726562,651.0432739257812,0.9988982677459717,821.3063354492188,693.5325317382812,0.9999991655349731,860.8665161132812,702.1867065429688,0.9999275207519531,828.1109619140625,757.9777221679688,0.9999769926071167,811.6239013671875,822.9718017578125,0.99997878074646
90,852.0794677734375,650.8793334960938,0.9997277855873108,821.1136474609375,692.98779296875,0.9999992847442627,860.5708618164062,702.1867065429688,0.9999780654907227,828.1109619140625,757.9777221679688,0.9999850988388062,811.6239013671875,822.1237182617188,0.9999836683273315
91,852.0385131835938,650.8793334960938,0.9998657703399658,821.0087280273438,692.902099609375,0.9999992847442627,859.9462280273438,702.1867065429688,0.9999675750732422,828.1109619140625,758.0859985351562,0.9999518394470215,810.961181640625,822.0983276367188,0.9999674558639526
